,.
fetch,fetch             : run fetch.py to fetch data from the sheet then write to data/raw_data.csv.
fit,fit               : run fit.py to fit the function to the data.
predict,predict           :run predict.py to calculate the time that Faded will hit 4B views.
show,show              : run visualize.py to show a plot of the data and the preds.
get,get <none_or_cfg> : show the value of a configuration entry. if unspecified show all.
set,set <cfg> <value> : set the value of a configuration entry.
?,? <none_or_cmd>   : show help for a given command. if unspecified show all.
help,help <none_or_cmd>: show help for a given command. if unspecified show all.
exit,exit              : exit the CLI.
quit,quit              : exit the CLI.
seeyou,seeyou            : exit the CLI.
seeya,seeya             : exit the CLI.
